Benchmark,Predicted_Solver,Solved,Runtime,PAR2_Score
QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_7-phaseTemplate.smt2,Yices2,False,1200,2400
QF_LRA/LassoRanker/SV-COMP/BradleyMannaSipma-2005ICALP-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,Yices2,False,1200,2400
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copyInit_ground.i_3_2_2.bpl_7.smt2,Z3alpha,True,4.2734090310987085,4.2734090310987085
QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2,Yices2,True,0.2486707589123398,0.2486707589123398
QF_LRA/spider_benchmarks/synched.induction.smt2,Yices2,True,0.21513740601949394,0.21513740601949394
QF_LRA/tta_startup/simple_startup_11nodes.missing.induct.smt2,OpenSMT,True,3.5134467219468206,3.5134467219468206
QF_LRA/LassoRanker/Ultimate/2013POPL-BenAmGen-Ex3.20.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,OpenSMT,True,2.8424870879389346,2.8424870879389346
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_04.i_3_2_2.bpl_11.smt2,OpenSMT,True,209.05175793194212,209.05175793194212
QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A60.smt2,Yices2,True,0.25210004299879074,0.25210004299879074
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate.smt2,OpenSMT,True,4.466535395011306,4.466535395011306
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_6-nestedTemplate.smt2,Yices2,True,1.5204463021364063,1.5204463021364063
QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2,Yices2,True,1.0173724461346865,1.0173724461346865
QF_LRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_3-pieceTemplate.smt2,Yices2,True,3.455387091031298,3.455387091031298
QF_LRA/sal/gasburner/gasburner-prop3-19.smt2,Yices2,True,0.21916656102985144,0.21916656102985144
QF_LRA/sc/sc-35.induction3.cvc.smt2,OpenSMT,True,0.670714627020061,0.670714627020061
QF_LRA/DTP-Scheduling/constraints-tempo-depth-8.smt2,Yices2,True,0.21268391516059637,0.21268391516059637
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_4-pieceTemplate.smt2,Yices2,False,1200,2400
QF_LRA/uart/uart-20.induction.cvc.smt2,Yices2,True,0.25508824503049254,0.25508824503049254
QF_LRA/clock_synchro/clocksynchro_2clocks.worst_case_skew.induct.smt2,OpenSMT,True,0.23191149905323982,0.23191149905323982
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2,Yices2,True,33.92079288791865,33.92079288791865
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_4-lexTemplate.smt2,Yices2,True,4.631682361941785,4.631682361941785
QF_LRA/DTP-Scheduling/constraints-tempo-depth-150.smt2,Yices2,True,0.30138844111934304,0.30138844111934304
QF_LRA/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_5-phaseTemplate.smt2,OpenSMT,True,16.10261132195592,16.10261132195592
QF_LRA/sc/sc-26.induction3.cvc.smt2,OpenSMT,True,0.49730863119475543,0.49730863119475543
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2,Yices2,True,1.8907041510101408,1.8907041510101408
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2,OpenSMT,True,0.9132091528736055,0.9132091528736055
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-14.smt2,Yices2,True,0.2450822670944035,0.2450822670944035
QF_LRA/sc/sc-34.induction3.cvc.smt2,OpenSMT,True,0.6390485689043999,0.6390485689043999
QF_LRA/latendresse/ecoliFBAyicesTest-15875-16.smt2,Z3alpha,True,0.5003919887822121,0.5003919887822121
QF_LRA/sc/sc-39.induction3.cvc.smt2,Yices2,True,0.28983067790977657,0.28983067790977657
QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A05.smt2,Yices2,True,0.21470821602270007,0.21470821602270007
QF_LRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2,Yices2,False,1200,2400
QF_LRA/uart/uart-21.base.cvc.smt2,Yices2,True,3.200618303846568,3.200618303846568
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_3-lexTemplate.smt2,Yices2,True,2.0599880369845778,2.0599880369845778
QF_LRA/2019-ezsmt/blending/17.smt2,Yices2,True,0.23720653099007905,0.23720653099007905
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2,OpenSMT,True,9.70185520593077,9.70185520593077
QF_LRA/uart/uart-18.induction.cvc.smt2,OpenSMT,True,0.49637779383920133,0.49637779383920133
QF_LRA/spider_benchmarks/pd_not_fs_seen.induction.smt2,Yices2,True,0.21173077286221087,0.21173077286221087
QF_LRA/sc/sc-10.induction.cvc.smt2,Yices2,True,0.21568985283374786,0.21568985283374786
QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_3-pieceTemplate.smt2,OpenSMT,False,1200,2400
